id,name_of_work,content,source,split
poem_sum:118,San Sepolcro by Jorie Graham,"In this blue light I can take you there, snow having made me a world of bone seen through to. This is my house, my section of Etruscan wall, my neighbor's lemontrees, and, just below the lower church, the airplane factory. A rooster crows all day from mist outside the walls. There's milk on the air, ice on the oily lemonskins. How clean the mind is, holy grave. It is this girl by Piero della Francesca, unbuttoning her blue dress, her mantle of weather, to go into labor. Come, we can go in. It is before the birth of god. No one has risen yet to the museums, to the assembly line--bodies and wings--to the open air market. This is what the living do: go in. It's a long way. And the dress keeps opening from eternity to privacy, quickening. Inside, at the heart, is tragedy, the present moment forever stillborn, but going in, each breath is a button coming undone, something terribly nimble-fingered finding all of the stops.",poem_sum,calib
tiny_story:1632631,TinyStory 1632631,"Once upon a time, in a big green park, there was a sweet little dog named Max. Max loved to play with his ball and run around the park. One sunny day, Max saw a man in a suit playing with his own dog. Max thought, ""I want to play with them too!""

Max ran up to the man and said, ""Can I play with you and your dog?"" The man smiled and said, ""Sure, Max! My dog's name is Daisy. Let's all play together!"" Max, Daisy, and the man in the suit played fetch with the ball. They had so much fun.

After playing for a long time, Max realized he was very tired. He said goodbye to the man in the suit and Daisy, and went home to rest. Max was so happy he made new friends in the park. He couldn't wait to play with them again.",tiny_story,calib
tiny_story:692263,TinyStory 692263,"Once upon a time, there was a parent who had three children. The parent knew that in order to get things done, the children had to be organized. One day, the parent tried to explain this to the children.

""I need you all to be organized,"" said the parent in an orderly tone.

The oldest child nodded and said, ""We can do that!""

The other two children were more hesitant. One of them asked, ""What does that mean?""

The parent took a deep breath and smiled. ""It means I need you to clean up after yourselves and put your things away. Can you do that?""

The children nodded and the parent said, ""Great! Let's try it out. Who can remove their shoes the fastest?"" 

The children all cheered and quickly removed their shoes. The parent sighed in relief as the children were getting organized.

The moral of the story is that with a little guidance, young children can learn how to be organized.",tiny_story,calib
tiny_story:182308,TinyStory 182308,"Once there was a little girl. She was 3 years old. She loved to explore.

One day, she found a button on the floor. It was a very special button. It made lights in the room. She was so excited!

But then something else happened. Her mom and dad encouraged her to keep exploring. They were so proud of her!

The little girl wanted to make the button do something else. She wanted it to make noise. But it didn't. It stayed silent.

The little girl was sad. But then her mom reminded her that her grandfather was deaf. He also loved lights.

So the little girl figured out a way to make the button into a special toy for her grandfather. She used it to make lights for him, when he visited.

He was so happy, he smiled and hugged her. The little girl was so proud. She was so happy that she was able to make her grandfather smile.

The little girl had learned that sometimes exploring can help encourage others.",tiny_story,calib
poem_sum:855,Anne Hathaway by Carol Ann Duffy,"'Item I gyve unto my wief my second best bed...' (from Shakespeare's will) The bed we loved in was a spinning world of forests, castles, torchlight, cliff-tops, seas where he would dive for pearls. My lover's words were shooting stars which fell to earth as kisses on these lips; my body now a softer rhyme to his, now echo, assonance; his touch a verb dancing in the centre of a noun. Some nights I dreamed he'd written me, the bed a page beneath his writer's hands. Romance and drama played by touch, by scent, by taste. In the other bed, the best, our guests dozed on, dribbling their prose. My living laughing love - I hold him in the casket of my widow's head as he held me upon that next best bed.",poem_sum,calib
poem_sum:770,i am water by Rupi Kaur,i am water soft enough to offer life tough enough to drown it away,poem_sum,calib
poem_sum:1287,Is it Still the Same by Eavan Boland,"young woman who climbs the stairs, who closes a child's door, who goes to her table in a room at the back of a house? The same unlighted corridor? The same night air over the wheelbarrows and rain-tanks? The same inky sky and pin-bright stars? You can see nothing of her, but her head bent over the page, her hand moving, moving again, and her hair. I wrote like that once. But this is different: This time, when she looks up, I will be there.",poem_sum,calib
poem_sum:557,Wife by Ada Limon,"I'm not yet comfortable with the word, its short clean woosh that sounds like life. At dinner last night my single girls said in admonition, ""It's not wife-approved"" about a friend's upcoming trip. Their eyes rolled up and over and out their pretty young heads. Wife, why does it sound like a job? ""I need a wife"" the famous feminist wrote, ""a wife that will keep my clothes clean, ironed, mended, replaced if need be."" A word that could be made easily into maid. A wife that does, fixes soothes, honors, obeys, Housewife, fishwife, bad wife, good wife, what's the word for someone who stares long into the morning, unable to even fix tea some days, the kettle steaming over loud like a train whistle, she who cries in the mornings, she who tears a hole in the earth and cannot stop grieving, the one who wants to love you, but often isn't good at even that, the one who doesn't want to be diminished by how much she wants to be yours.",poem_sum,calib
poem_sum:1448,One For Sorrow,"One for sorrow, Two for joy, Three for a girl, Four for a boy, Five for silver, Six for gold, Seven for a secret, Never to be told, Eight for a wish, Nine for a kiss Ten for a bird You must not miss.",poem_sum,calib
poem_sum:1156,Catch the Fire by Sonia Sanchez,"(Sometimes I wonder: What to say to you now in the soft afternoon air as you hold us all in a single death?) I say-- Where is your fire? I say-- Where is your fire? You got to find it and pass it on. You got to find it and pass it on from you to me from me to her from her to him from the son to the father from the brother to the sister from the daughter to the mother from the mother to the child. Where is your fire? I say where is your fire? Can't you smell it coming out of our past? The fire of living...not dying The fire of loving...not killing The fire of Blackness...not gangster shadows. Where is our beautiful fire that gave light to the world? The fire of pyramids; The fire that burned through the holes of slaveships and made us breathe; The fire that made guts into chitterlings; The fire that took rhythms and made jazz; The fire of sit-ins and marches that made us jump boundaries and barriers; The fire that took street talk sounds and made righteous imhotep raps. Where is your fire, the torch of life full of Nzingha and Nat Turner and Garvey and DuBois and Fannie Lou Hamer and Martin and Malcolm and Mandela. Sister/Sistah Brother/Brotha Come/Come CATCH YOUR FIRE...DON'T KILL HOLD YOUR FIRE...DON'T KILL LEARN YOUR FIRE...DON'T KILL BE THE FIRE...DON'T KILL Catch the fire and burn with eyes that see our souls: WALKING. SINGING. BUILDING. LAUGHING. LEARNING. LOVING. TEACHING. BEING. Hey. Brother/Brotha. Sister/Sista. Here is my hand. Catch the fire...and live. live. livelivelive. livelivelive. live. live.",poem_sum,calib
tiny_story:1842080,TinyStory 1842080,"Once there was a little boy who wanted to explore the world. One day he decided to walk up a hill. When the boy reached the top, he saw how attractive it was. The hill was covered in blooming flowers and he could see the sun and the moon. The boy thought that was very special!

The boy decided to sit on the hill and close his eyes and enjoy the view. He could feel the wind brushing against his cheeks and he breathed in the fresh air. He felt happy and content.

After a while, the boy opened his eyes and looked around. He saw a little door on the hill and felt curious. He opened the door and discovered a lovely garden. He saw tall trees and colorful butterflies. But then he heard somebody say, ""Please shut the door!"" He realized he had to leave the garden and started to walk away from the hill.

The boy felt sad but he looked back at the hill one last time. He waved goodbye and smiled, because he knew the hill would always be there for him to explore again.",tiny_story,calib
poem_sum:1749,Absent from thee by John Wilmot,"Absent from thee I languish still; Then ask me not, when I return? The straying fool 'twill plainly kill To wish all day, all night to mourn. Dear! from thine arms then let me fly, That my fantastic mind may prove The torments it deserves to try That tears my fixed heart from my love. When, wearied with a world of woe, To thy safe bosom I retire where love and peace and truth does flow, May I contented there expire,Lest, once more wandering from that heaven, I fall on some base heart unblest, Faithless to thee, false, unforgiven, And lose my everlasting rest.",poem_sum,calib
tiny_story:228386,TinyStory 228386,"Once upon a time, there were two best friends, Amber and Jasmine. One day, Amber offered Jasmine an adventure. ""Let's go to the train station!"" said Amber. 

""Ok!"" said Jasmine. So, Amber and Jasmine walked to the station. 

At the station, the two friends saw a train. It was so big and the colors were so bright! They were so excited.

The conductor saw Amber and Jasmine and he smiled. He offered them a ride on the train. ""Would you like to take a ride?"" the conductor asked.

""Yes please!"" said Amber and Jasmine in unison.

The conductor smiled. ""Hop aboard, then,"" he said.
The ride was mild and the two friends enjoyed it so much. 

At the end of their trip, the conductor thanked them. ""Thank you for the wonderful journey,"" the conductor said. 

Amber and Jasmine thanked him and said goodbye. Then, they went on their way, still dreaming of their journey in the train.",tiny_story,calib
