model,block,timestep_fraction,latent_idx,frequency,mean_concentration,rank,is_top32
PixArt,transformer_blocks.12,0.0,1236,65,0.6423471868038177,1,True
PixArt,transformer_blocks.12,0.0,1588,38,0.6704751598207574,2,True
PixArt,transformer_blocks.12,0.0,3539,14,0.6682440638542175,3,True
PixArt,transformer_blocks.12,0.0,1062,9,0.652930799457762,4,True
PixArt,transformer_blocks.12,0.0,616,3,0.6656768023967743,5,True
PixArt,transformer_blocks.16,0.0,890,43,0.6582733732323314,1,True
PixArt,transformer_blocks.16,0.0,88,35,0.6869405210018158,2,True
PixArt,transformer_blocks.16,0.0,665,24,0.6725260950624943,3,True
PixArt,transformer_blocks.16,0.0,1314,16,0.6753120124340057,4,True
PixArt,transformer_blocks.16,0.0,1782,7,0.6556926071643829,5,True
PixArt,transformer_blocks.16,0.0,3693,4,0.6558528542518616,6,True
PixArt,transformer_blocks.20,0.0,1599,112,0.6502499713429383,1,True
PixArt,transformer_blocks.20,0.0,1442,14,0.6754454970359802,2,True
PixArt,transformer_blocks.20,0.0,126,3,0.6632342338562012,3,True
PixArt,transformer_blocks.4,0.0,3793,129,0.6720892200174258,1,True
PixArt,transformer_blocks.8,0.0,649,111,0.6598963804610141,1,True
PixArt,transformer_blocks.8,0.0,382,18,0.6593150364028083,2,True
SD3,transformer_blocks.12,0.0,709,71,0.6965256933595093,1,True
SD3,transformer_blocks.12,0.0,4090,37,0.6644785742501955,2,True
SD3,transformer_blocks.12,0.0,388,12,0.7051287492116293,3,True
SD3,transformer_blocks.12,0.0,111,2,0.6637689173221588,4,True
SD3,transformer_blocks.12,0.0,2932,2,0.6608105152845383,5,True
SD3,transformer_blocks.12,0.0,3438,2,0.6537063121795654,6,True
SD3,transformer_blocks.12,0.0,2461,1,0.7187588810920715,7,True
SD3,transformer_blocks.12,0.0,54,1,0.7058290541172028,8,True
SD3,transformer_blocks.12,0.5,3926,36,0.6737222746014595,1,True
SD3,transformer_blocks.12,0.5,2891,33,0.6888949275016785,2,True
SD3,transformer_blocks.12,0.5,2734,6,0.6390674064556757,3,True
SD3,transformer_blocks.12,0.5,2654,6,0.6301491061846415,4,True
SD3,transformer_blocks.12,0.5,3011,6,0.6135932008425394,5,True
