index,id,name_of_work,content,source
0,45757,VIST Story 45757,oh one side of him was a crystal clear lake .,vist
1,45696,VIST Story 45696,then the local marching band entertained us .,vist
2,45577,VIST Story 45577,today we visited a farm .,vist
3,46021,VIST Story 46021,and now it is ready to go .,vist
4,45587,VIST Story 45587,after a long time of driving we had to stop at a cafe to get something to eat .,vist
5,45602,VIST Story 45602,we made some noodles .,vist
6,45641,VIST Story 45641,fans watched the scoreboard closely .,vist
7,45600,VIST Story 45600,there was a plate of meat for those that liked that .,vist
8,poem_sum:poemsum_train.csv:1212,Tableau by Countee Cullen,"Locked arm in arm they cross the way,
The black boy and the white,
The golden splendor of the day,
The sable pride of night.
From lowered blinds the dark folk stare,
And here the fair folk talk,
Indignant that these two should dare
In unison to walk.
Oblivious to look and word
They pass, and see no wonder
That lightning brilliant as a sword
Should blaze the path of thunder.",poem_sum
9,45663,VIST Story 45663,the first biker sets off on the course on a path through a forest .,vist
10,poem_sum:poemsum_train.csv:1359,On Time by John Milton,"Fly envious Time, till thou run out thy race, Call on the lazy leaden-stepping hours, Whose speed is but the heavy Plummets pace; And glut thy self with what thy womb devours, Which is no more then what is false and vain, And meerly mortal dross; So little is our loss, So little is thy gain. For when as each thing bad thou hast entomb'd, And last of all, thy greedy self consum'd,
Then long Eternity shall greet our bliss With an individual kiss; And Joy shall overtake us as a flood, When every thing that is sincerely good And perfectly divine, With Truth, and Peace, and Love shall ever shine About the supreme Throne Of him, t'whose happy-making sight alone, When once our heav'nly-guided soul shall clime, Then all this Earthy grosnes quit, Attir'd with Stars, we shall for ever sit, Triumphing over Death, and Chance, and thee O Time.",poem_sum
11,45621,VIST Story 45621,"it was fourth of july that day , we were proud to be americans .",vist
12,poem_sum:poemsum_train.csv:286,Solitude by Ella Wheeler Wilcox,"Laugh, and the world laughs with you;
Weep, and you weep alone;
For the sad old earth must borrow its mirth,
But has trouble enough of its own.
Sing, and the hills will answer;
Sigh, it is lost on the air;
The echoes bound to a joyful sound,
But shrink from voicing care.
Rejoice, and men will seek you;
Grieve, and they turn and go;
They want full measure of all your pleasure,
But they do not need your woe.
Be glad, and your friends are many;
Be sad, and you lose them all,—
There are none to decline your nectared wine,
But alone you must drink life’s gall.
Feast, and your halls are crowded;
Fast, and the world goes by.
Succeed and give, and it helps you live,
But no man can help you die.
There is room in the halls of pleasure
For a large and lordly train,
But one by one we must all file on
Through the narrow aisles of pain.",poem_sum
13,poem_sum:poemsum_train.csv:732,Fishermen by Elizabeth Jennings,"This to be peace, they think beside the river
Being adapted well to expectation
And their wives’ mutiny at no achievement
And yet can sit watching the promises
Escape through weeds and make a trial of biting,
Can lose them, thankful that it is not yet
Time to draw in the line and drain the net.

Learning themselves in this uncertainty
Each hardly cares whether a fish is caught,
For here is privacy, each warns himself,
The fish, inquiries in the river, not
When drawn out promises at all
Being so solid on the bank and still.

Only the boys who live in certainty,
With expectation other than the stream,
Jeer at the patience and draw up their net
Of future frogs, the river vague to them
Until it’s emptied. But the old men fill
Their eyes with water, leave the river full.",poem_sum
14,poem_sum:poemsum_train.csv:1542,You should appear less often in my dreams by Anna Akhmatova,"You should appear less often in my dreams,
Since we meet so frequently;
Yet only in night's sanctuary
Are you sad, troubled, and tender.
And sweeter than seraphic praise
Is your lips' dear flattery…
Ah, in dreams you won't mistake my name,
Or gently sigh, as you do here.",poem_sum
15,poem_sum:poemsum_train.csv:154,Metrical Feet by Samuel Taylor Coleridge,"Trochee trips from long to short;
From long to long in solemn sort
Slow Spondee stalks, strong foot!, yet ill able
Ever to come up with Dactyl's trisyllable.
Iambics march from short to long.
With a leap and a bound the swift Anapests throng.
One syllable long, with one short at each side,
Amphibrachys hastes with a stately stride —
First and last being long, middle short, Amphimacer
Strikes his thundering hoofs like a proud high-bred Racer.
If Derwent be innocent, steady, and wise,
And delight in the things of earth, water, and skies;
Tender warmth at his heart, with these meters to show it,
With sound sense in his brains, may make Derwent a poet —
May crown him with fame, and must win him the love
Of his father on earth and his father above.
My dear, dear child!
Could you stand upon Skiddaw, you would not from its whole ridge
See a man who so loves you as your fond S.T. Colerige.",poem_sum
16,45966,VIST Story 45966,we ate at a restaurant by the water .,vist
17,45853,VIST Story 45853,this protester displays the palestinian flag .,vist
18,45789,VIST Story 45789,even a bottle can make a good vase !,vist
19,45833,VIST Story 45833,the captain finally told us that we would be leaving .,vist
20,45549,VIST Story 45549,the family is having a wonderful time together .,vist
21,45583,VIST Story 45583,he gathers the guys around out back .,vist
22,poem_sum:poemsum_train.csv:457,The Self Banished by Edmund Waller,"It is not that I love you less
Than when before your feet I lay,
But to prevent the sad increase
Of hopeless love, I keep away.

In vain (alas!) for everything
Which I have known belong to you,
Your form does to my fancy bring,
And makes my old wounds bleed anew.

Who in the spring from the new sun
Already has a fever got,
Too late begins those shafts to shun,
Which Phœbus through his veins has shot.

Too late he would the pain assuage,
And to thick shadows does retire;
About with him he bears the rage,
And in his tainted blood the fire.

But vow’d I have, and never must
Your banish’d servant trouble you;
For if I break, you may distrust
The vow I made to love you, too.",poem_sum
23,45632,VIST Story 45632,a nap is necessary after a long day .,vist
24,45604,VIST Story 45604,there was lots of food .,vist
25,poem_sum:poemsum_train.csv:670,"Terence, This is Stupid Stuff by A. E. Housman","Terence, this is stupid stuff:
You eat your victuals fast enough;
There can't be much amiss, 'tis clear,
To see the rate you drink your beer.
But oh, good Lord, the verse you make,
It gives a chap the belly-ache.
The cow, the old cow, she is dead;
It sleeps well, the horned head:
We poor lads, 'tis our turn now
To hear such tunes as killed the cow.
Pretty friendship 'tis to rhyme
Your friends to death before their time
Moping melancholy mad:
Come, pipe a tune to dance to, lad.'

Why, if 'tis dancing you would be,
There's brisker pipes than poetry.
Say, for what were hop-yards meant,
Or why was Burton built on Trent?
Oh many a peer of England brews
Livelier liquor than the Muse,
And malt does more than Milton can
To justify God's ways to man.
Ale, man, ale's the stuff to drink
For fellows whom it hurts to think:
Look into the pewter pot
To see the world as the world's not.
And faith, 'tis pleasant till 'tis past:
The mischief is that 'twill not last.
Oh I have been to Ludlow fair
And left my necktie God knows where,
And carried half way home, or near,
Pints and quarts of Ludlow beer:
Then the world seemed none so bad,
And I myself a sterling lad;
And down in lovely muck I've lain,
Happy till I woke again.
Then I saw the morning sky:
Heigho, the tale was all a lie;
The world, it was the old world yet,
I was I, my things were wet,
And nothing now remained to do
But begin the game anew.

Therefore, since the world has still
Much good, but much less good than ill,
And while the sun and moon endure
Luck's a chance, but trouble's sure,
I'd face it as a wise man would,
And train for ill and not for good.
'Tis true, the stuff I bring for sale
Is not so brisk a brew as ale:
Out of a stem that scored the hand
I wrung it in a weary land.
But take it: if the smack is sour,
The better for the embittered hour;
It should do good to heart and head
When your soul is in my soul's stead;
And I will friend you, if I may,
In the dark and cloudy day.

There was a king reigned in the East:
There, when kings will sit to feast,
They get their fill before they think
With poisoned meat and poisoned drink.
He gathered all the springs to birth
From the many-venomed earth;
First a little, thence to more,
He sampled all her killing store;
And easy, smiling, seasoned sound,
Sate the king when healths went round.
They put arsenic in his meat
And stared aghast to watch him eat;
They poured strychnine in his cup
And shook to see him drink it up:
They shook, they stared as white's their shirt:
Them it was their poison hurt.

I tell the tale that I heard told.
Mithridates, he died old.",poem_sum
26,45865,VIST Story 45865,early morning heading to school,vist
27,poem_sum:poemsum_train.csv:1241,The Tradition by Jericho Brown,"Aster. Nasturtium. Delphinium. We thought
Fingers in dirt meant it was our dirt, learning
Names in heat, in elements classical
Philosophers said could change us. Star Gazer. 
Foxglove. Summer seemed to bloom against the will
Of the sun, which news reports claimed flamed hotter
On this planet than when our dead fathers
Wiped sweat from their necks. Cosmos. Baby’s Breath. 
Men like me and my brothers filmed what we
Planted for proof we existed before
Too late, sped the video to see blossoms
Brought in seconds, colors you expect in poems
Where the world ends, everything cut down.
John Crawford. Eric Garner. Mike Brown.",poem_sum
28,poem_sum:poemsum_train.csv:243,A Silly Poem by Spike Milligan,"Said Hamlet to Ophelia,
I'll draw a sketch of thee,
What kind of pencil shall I use?
2B or not 2B?",poem_sum
29,poem_sum:poemsum_train.csv:187,The Paradoxical Commandments by Kent M. Keith,"People are illogical, unreasonable, and self-centered.
Love them anyway.

 

If you do good, people will accuse you of selfish ulterior motives.
Do good anyway.

 

If you are successful, you will win false friends and true enemies.
Succeed anyway.

 

The good you do today will be forgotten tomorrow.
Do good anyway.

 

Honesty and frankness make you vulnerable.
Be honest and frank anyway.

 

The biggest men and women with the biggest ideas

can be shot down by the smallest men and women with the smallest minds.

Think big anyway.

 

People favor underdogs but follow only top dogs.
Fight for a few underdogs anyway.

 

What you spend years building may be destroyed overnight.
Build anyway.

 

People really need help but may attack you if you do help them.
Help people anyway.

 

Give the world the best you have and you’ll get kicked in the teeth.
Give the world the best you have anyway.",poem_sum
30,poem_sum:poemsum_train.csv:1283,First Love: A Quiz by A.E. Stallings,"He came up to me:
a. in his souped-up Camaro
b. to talk to my skinny best friend
c. and bumped my glass of wine so I wore the
ferrous stain on my sleeve
d. from the ground, in a lead chariot drawn by
a team of stallions black as crude oil and
breathing sulfur: at his heart, he sported a
tiny golden arrow.

He offered me:
a. a ride
b. dinner and a movie, with a wink at the
cliché
c. an excuse not to go back alone to the
apartment with its sink of dirty knives
d. a narcissus with a hundred dazzling petals
that breathed a sweetness as cloying as
decay.

I went with him because:
a. even his friends told me to beware
b. I had nothing to lose except my virginity
c. he placed his hand in the small of my back
and I felt the tread of honeybees
d. he was my uncle, the one who lived in the
half-finished basement, and he took me by
the hair

The place he took me to:
a. was dark as my shut eyes
b. and where I ate biter seed and became ripe
c. and from which my mother would never take me
wholly back, though she wept and walked the
earth and made the bearded ears of barley
wither on their stalks and the blasted
flowers drop from their sepals
d. is called by some men hell and others love
e. all of the above",poem_sum
31,45696,VIST Story 45696,"the mayor closed up the parade , waving at the crowd as he passed .",vist
32,poem_sum:poemsum_train.csv:104,Let America Be America Again by Langston Hughes,"Let America be America again.
Let it be the dream it used to be.
Let it be the pioneer on the plain
Seeking a home where he himself is free.

(America never was America to me.)

Let America be the dream the dreamers dreamed—
Let it be that great strong land of love
Where never kings connive nor tyrants scheme
That any man be crushed by one above.

(It never was America to me.)

O, let my land be a land where Liberty
Is crowned with no false patriotic wreath,
But opportunity is real, and life is free,
Equality is in the air we breathe.

(There’s never been equality for me,
Nor freedom in this “homeland of the free.”)

Say, who are you that mumbles in the dark?
And who are you that draws your veil across the stars?

I am the poor white, fooled and pushed apart,
I am the Negro bearing slavery’s scars.
I am the red man driven from the land,
I am the immigrant clutching the hope I seek—
And finding only the same old stupid plan
Of dog eat dog, of mighty crush the weak.

I am the young man, full of strength and hope,
Tangled in that ancient endless chain
Of profit, power, gain, of grab the land!
Of grab the gold! Of grab the ways of satisfying need!
Of work the men! Of take the pay!
Of owning everything for one’s own greed!

I am the farmer, bondsman to the soil.
I am the worker sold to the machine.
I am the Negro, servant to you all.
I am the people, humble, hungry, mean—
Hungry yet today despite the dream.
Beaten yet today—O, Pioneers!
I am the man who never got ahead,
The poorest worker bartered through the years.

Yet I’m the one who dreamt our basic dream
In the Old World while still a serf of kings,
Who dreamt a dream so strong, so brave, so true,
That even yet its mighty daring sings
In every brick and stone, in every furrow turned
That’s made America the land it has become.
O, I’m the man who sailed those early seas
In search of what I meant to be my home—
For I’m the one who left dark Ireland’s shore,
And Poland’s plain, and England’s grassy lea,
And torn from Black Africa’s strand I came
To build a “homeland of the free.”

The free?

Who said the free? Not me?
Surely not me? The millions on relief today?
The millions shot down when we strike?
The millions who have nothing for our pay?
For all the dreams we’ve dreamed
And all the songs we’ve sung
And all the hopes we’ve held
And all the flags we’ve hung,
The millions who have nothing for our pay—
Except the dream that’s almost dead today.

O, let America be America again—
The land that never has been yet—
And yet must be—the land where every man is free.
The land that’s mine—the poor man’s, Indian’s, Negro’s, ME—
Who made America,
Whose sweat and blood, whose faith and pain,
Whose hand at the foundry, whose plow in the rain,
Must bring back our mighty dream again.

Sure, call me any ugly name you choose—
The steel of freedom does not stain.
From those who live like leeches on the people’s lives,
We must take back our land again,
America!

O, yes,
I say it plain,
America never was America to me,
And yet I swear this oath—
America will be!

Out of the rack and ruin of our gangster death,
The rape and rot of graft, and stealth, and lies,
We, the people, must redeem
The land, the mines, the plants, the rivers.
The mountains and the endless plain—
All, all the stretch of these great green states—
And make America again!",poem_sum
33,45767,VIST Story 45767,i brought my laptop with me .,vist
34,45841,VIST Story 45841,it 's a great time to spend with family .,vist
35,45609,VIST Story 45609,the food prepared for the community consisted of bacon and pancakes .,vist
36,45825,VIST Story 45825,at the end of the day they see all of the interesting thing that they have done and they can put them in a special scrapbook .,vist
37,poem_sum:poemsum_train.csv:1367,Morning by Henry Reed,"Look, my love, on the wall, and here, at this Eastern picture.
How still its scene, and neither of sleep nor waking:
No shadow falls from the tree or the golden mountain,
The boats on the glassy lake have no reflection,
No echo would come if you blew a horn in those valleys.

And look away, and move. Or speak, or sing:
And voices of the past murmur among your words,
Under your glance my dead selves quicken and stir,
And a thousand shadows attend where you go.

That is your movement. There is a golden stillness,
Soundless and fathomless, and far beyond it;
When brow on brow, or mouth to mouth assembled,
We lie in the calm of morning. And there, outside us,
The sun moves on, the boat jogs on the lake,
The huntsman calls.
And we lie here, our orient peace awakening,
No echo, and no shadow, and no reflection.",poem_sum
38,poem_sum:poemsum_train.csv:1370,The Opposite of Nostalgia by Eric Gamalinda,"You are running away from everyone
who loves you,
from your family,
from old lovers, from friends.
They run after you with accumulations
of a former life, copper earrings,
plates of noodles, banners
of many lost revolutions.
You love to say the trees are naked now
because it never happens
in your country. This is a mystery
from which you will never
recover. And yes, the trees are naked now,
everything that still breathes in them
lies silent and stark
and waiting. You love October most
of all, how there is no word
for so much splendor.
This, too, is a source
of consolation. Between you and memory
everything is water. Names of the dead,
or saints, or history.
There is a realm in which
—no, forget it,
it’s still too early to make anyone understand.
A man drives a stake
through his own heart
and afterwards the opposite of nostalgia
begins to make sense: he stops raking the leaves
and the leaves take over
and again he has learned
to let go.",poem_sum
39,45694,VIST Story 45694,they were especially excited to learn that three of their sons were planning a new startup company .,vist
40,45737,VIST Story 45737,it was great .,vist
41,poem_sum:poemsum_train.csv:118,Sonnet 35 by Elizabeth Barrett Browning,"If I leave all for thee, wilt thou exchange
And be all to me? Shall I never miss
Home-talk and blessing and the common kiss
That comes to each in turn, nor count it strange,
When I look up, to drop on a new range
Of walls and floors ... another home than this?
Nay, wilt thou fill that place by me which is
Filled by dead eyes too tender to know change?
That's hardest. If to conquer love, has tried,
To conquer grief, tries more ... as all things prove;
For grief indeed is love and grief beside.
Alas, I have grieved so I am hard to love.
Yet love me—wilt thou? Open thine heart wide,
And fold within, the wet wings of thy dove.",poem_sum
42,45840,VIST Story 45840,celebrating independence day with some friends . what a night !,vist
