name_of_work,content,source
Never Shall I Forget by Elie Wiesel,"Never shall I forget that night, the first night in camp, that turned my life into one long night seven times sealed. Never shall I forget that smoke. Never shall I forget the small faces of the children whose bodies I saw transformed into smoke under a silent sky. Never shall I forget those flames that consumed my faith for ever. Never shall I forget the nocturnal silence that deprived me for all eternity of the desire to live. Never shall I forget those moments that murdered my God and my soul and turned my dreams to ashes. Never shall I forget those things, even were I condemned to live as long as God Himself. Never",poem_sum:poemsum_train.csv:row_0
Leap Before You Look by W. H. Auden,"The sense of danger must not disappear: The way is certainly both short and steep, However gradual it looks from here; Look if you like, but you will have to leap. Tough-minded men get mushy in their sleep And break the by-laws any fool can keep; It is not the convention but the fear That has a tendency to disappear. The worried efforts of the busy heap, The dirt, the imprecision, and the beer Produce a few smart wisecracks every year; Laugh if you can, but you will have to leap. The clothes that are considered right to wear Will not be either sensible or cheap, So long as we consent to live like sheep And never mention those who disappear. Much can be said for social savoir-faire, But to rejoice when no one else is there Is even harder than it is to weep; No one is watching, but you have to leap. A solitude ten thousand fathoms deep Sustains the bed on which we lie, my dear: Although I love you, you will have to leap; Our dream of safety has to disappear.",poem_sum:poemsum_train.csv:row_1
Joseph Jones by Owen Sheers,"Of course I remember Joseph Fifty press-ups before a night out, hair sheened with gel, air dead with scent when he passed. Told us all how he got his red wings over the bandstand railing. Her skirt, an umbrella blown inside out, White tights shed to high heels. How he would stand at the bar, stroking his chest with one hand, drinking with the other; the making of a small town myth - XR2 late night fights, a trial once with Cardiff Youth.",poem_sum:poemsum_train.csv:row_2
Love Songs In Age by Philip Larkin,"She kept her songs, they kept so little space, The covers pleased her: One bleached from lying in a sunny place, One marked in circles by a vase of water, One mended, when a tidy fit had seized her, And coloured, by her daughter - So they had waited, till, in widowhood She found them, looking for something else, and stood Relearning how each frank submissive chord Had ushered in Word after sprawling hyphenated word, And the unfailing sense of being young Spread out like a spring-woken tree, wherein That hidden freshness sung, That certainty of time laid up in store As when she played them first. But, even more, The glare of that much-mentionned brilliance, love, Broke out, to show Its bright incipience sailing above, Still promising to solve, and satisfy, And set unchangeably in order. So To pile them back, to cry, Was hard, without lamely admitting how It had not done so then, and could not now.",poem_sum:poemsum_train.csv:row_3
Another Valentine by Wendy Cope,"Today we are obliged to be romantic And think of yet another valentine. We know the rules and we are both pedantic: Today's the day we have to be romantic. Our love is old and sure, not new and frantic. You know I'm yours and I know you are mine. And saying that has made me feel romantic, My dearest love, my darling valentine.",poem_sum:poemsum_train.csv:row_4
The Love Feast by W.H. Auden,"In an upper room at midnight See us gathered on behalf Of love according to the gospel Of the radio-phonograph. Lou is telling Anne what Molly Said to Mark behind her back; Jack likes Jill who worships George Who has the hots for Jack. Catechumens make their entrance; Steep enthusiastic eyes Flicker after tits and baskets; Someone vomits; someone cries. Willy cannot bear his father, Lilian is afraid of kids; The Love that rules the sun and stars Permits what He forbids. Adrian's pleasure-loving dachshund In a sinner's lap lies curled; Drunken absent-minded fingers Pat a sinless world. Who is Jenny lying to In her call, Collect, to Rome? The Love that made her out of nothing Tells me to go home. But that Miss Number in the corner Playing hard to get... I am sorry I'm not sorry... Make me chaste, Lord, but not yet.",poem_sum:poemsum_train.csv:row_5
Farewell to Kurdistan by Rosemary Tonks,"As my new life begins, I start smiling at the people around me, You would think I'd just been given a substantial meal, I see all their good points. The railroad sheds are full of greenish-yellow electricity, It's the great mad-day hour in London...that suddenly goes brown. ...My stupefying efforts make money And to have a life! Well, I'm leaving; nothing can hold me. The platforms are dense to the foot, Rich, strong-willed travellers pace about in the dark daylight, And how they stink of green fatty soaps, the rich. More dirty weather...you can hardly see the newspaper stand With its abominable, ludicrous papers...which are so touching I ought to laugh and cry, instead of gritting my teeth. Let me inhale the filthy air for the last time Good heavens, how vile it is...I could take you step by step Back among the twilight buildings, into my old life... The trains come in, boiling, caked ! The station half tames them, there's the sound of blows; the uproar! And I -- I behave as though I've been starved of noise, My intestinr eats up this big music And my new bourgeois soul promptly bursts into flames, in mid-air. No use pouring me a few last minutes of the old life From your tank of shadow, filled with lost and rotten people, I admit: the same flow of gutter-sugar to the brain... No one to see me off -- Ah! I would like to be seen off; it must be the same agonizing woman Who does not want to understand me, and who exposes me in public, So that I can turn away, choked with the cold bile, And feel myself loved absoltely; the bitch. These carriages, that have heavy brown and black bread Up their sides! But look out for the moment of cowardice, It's Charon's rowing-boat that lurches and fouls my hand As I climb on -- exile, Limboist. ...The way these people get on with thir lives; I bow down With my few deeds and my lotus scars. Last minutes...last greenish-yellow minutes Of the lost and rotten hours...faro, and old winters dimmed, On which the dark -- Yes, the black sugar-crust is forming, London. I'm leaving! Nothing can hold me! The trains, watered and greased, scream to be off. Hullo -- I'm already sticking out my elbows for a piece of territory, I occupy my place as though I can't get enough of it -- And with what casual, haughty, and specific gestures, incidentally. Tradesmen, Pigs, regenerative trains -- I shall be saved! I shall go to the centre of Europe; gliding, As children skate on the diamond lid of the lake Never touching gound -- Xenophile, on the blue-plated meadows. Oh I shall live off myself, rainclothes, documents, The great train simmers....Life is large, large! ...I shall live off your loaf of shadows, London; I admit it, at the last.",poem_sum:poemsum_train.csv:row_6
Chainsaw Versus the Pampas Grass by Simon Armitage,"It seemed an unlikely match. All winter unplugged, grinding its teeth in a plastic sleeve, the chainsaw swung nose-down from a hook in the darkroom under the hatch in the floor. When offered the can it knocked back a quarter-pint of engine oil and juices ran from its joints and threads, oozed across the guide-bar and the maker's name, into the dry links. From the summerhouse, still holding one last gulp of last year's heat behind its double doors, and hung with the weightless wreckage of wasps and flies, moth-balled in spider's wool... from there, I trailed the day-glo orange power-line the length of the lawn and the garden path, fed it out like powder from a keg, then walked back to the socket and flicked the switch, then walked again and coupled the saw to the flex - clipped them together. Then dropped the safety catch and gunned the trigger. No gearing up or getting to speeds, just an instant rage, the rush of metal lashing out at air, connected to the main. The chainsaw with its perfect disregard, its mood to tangle with cloth, or jewellery, or hair. The chainsaw with its bloody desire, its sweet tooth for the flesh of the face and the bones underneath, its grand plan to kick back against nail or knot and rear up into the brain. I let it flare, lifted it into the sun and felt the hundred beats per second drumming in its heart, and felt the drive-wheel gargle in its throat. The pampas grass with its ludicrous feathers and plumes. The pampas grass, taking the warmth and light from cuttings and bulbs, sunning itself, stealing the show with its footstools, cushions and tufts and its twelve-foot spears. This was the sledgehammer taken to crack the nut. Probably all that was needed here was a good pull or shove or a pitchfork to lever it out at its base. Overkill. I touched the blur of the blade against the nearmost tip of a reed - it didn't exist. I dabbed at a stalk that swooned, docked a couple of heads, dismissed the top third of its canes with a sideways sweep at shoulder height - this was a game. I lifted the fringe of undergrowth, carved at the trunk - plant-juice spat from the pipes and tubes and dust flew out as I ripped into pockets of dark, secret warmth. To clear a space to work I raked whatever was severed or felled or torn towards the dead zone under the outhouse wall, to be fired. Then cut and raked, cut and raked, till what was left was a flat stump the size of a manhole cover or barrel lid that wouldn't be dug with a spade or prized from the earth. Wanting to finish things off I took up the saw and drove it vertically downwards into the upper roots, but the blade became choked with soil or fouled with weeds, or what was sliced or split somehow closed and mended behind, like cutting at water or air with a knife. I poured barbecue fluid into the patch and threw in a match - it flamed for a minute, smoked for a minute more, and went out. I left it at that. In the weeks that came new shoots like asparagus tips sprang up from its nest and by June it was riding high in its saddle, wearing a new crown. Corn in Egypt. I looked on from the upstairs window like the midday moon. Back below stairs on its hook, the chainsaw seethed. I left it a year, to work back through its man-made dreams, to try to forget. The seamless urge to persist was as far as it got.",poem_sum:poemsum_train.csv:row_7
Only Child by D. Nurkse,"1 I cradled my newborn daughter and felt the heartbeat pull me out of shock. She didn't know what her hands were: she folded them. I asked her was there a place where there was no world. She didn't know what a voice was: her lips were the shape of a nipple. 2 In the park the child says: watch me. It will not count unless you see. And she shows me the cartwheel, the skip, the tumble, the tricks performed at leisure in midair, each unknown until it is finished. At home she orders: see me eat. I watch her curl on herself, sleep; as I try to leave the dark room her dreaming voice commands me: watch. 3 Always we passed the seesaw on the way to the swings but tonight I remember the principle of the lever, I sit the child at one end, I sit near the center, the fulcrum, at once she has power to lift me off the earth and keep me suspended by her tiny weight, she laughing, I stunned at the power of the formula.",poem_sum:poemsum_train.csv:row_8
The Fly by Ogden Nash,God in his wisdom made the fly And then forgot to tell us why.,poem_sum:poemsum_train.csv:row_9
Love on the Farm by D.H. Lawrence,"What large, dark hands are those at the window Lifted, grasping the golden light Which weaves its way through the creeper leaves To my heart's delight? Ah, only the leaves! But in the west, In the west I see a redness come Over the evening's burning breast-- --'Tis the wound of love goes home! The woodbine creeps abroad Calling low to her lover: The sun-lit flirt who all the day Has poised above her lips in play And stolen kisses, shallow and gay Of pollen, now has gone away --She woos the moth with her sweet, low word, And when above her his broad wings hover Then her bright breast she will uncover And yield her honey-drop to her lover. Into the yellow, evening glow Saunters a man from the farm below, Leans, and looks in at the low-built shed Where hangs the swallow's marriage bed. The bird lies warm against the wall. She glances quick her startled eyes Towards him, then she turns away Her small head, making warm display Of red upon the throat. His terrors sway Her out of the nest's warm, busy ball, Whose plaintive cry is heard as she flies In one blue stoop from out the sties Into the evening's empty hall. Oh, water-hen, beside the rushes Hide your quaint, unfading blushes, Still your quick tail, and lie as dead, Till the distance folds over his ominous tread. The rabbit presses back her ears, Turns back her liquid, anguished eyes And crouches low: then with wild spring Spurts from the terror of _his_ oncoming To be choked back, the wire ring Her frantic effort throttling: Piteous brown ball of quivering fears! Ah soon in his large, hard hands she dies, And swings all loose to the swing of his walk. Yet calm and kindly are his eyes And ready to open in brown surprise Should I not answer to his talk Or should he my tears surmise. I hear his hand on the latch, and rise from my chair Watching the door open: he flashes bare His strong teeth in a smile, and flashes his eyes In a smile like triumph upon me; then careless-wise He flings the rabbit soft on the table board And comes towards me: ah, the uplifted sword Of his hand against my bosom, and oh, the broad Blade of his hand that raise my face to applaud His coming: he raises up my face to him And caresses my mouth with his fingers, which still smell grim Of the rabbit's fur! God, I am caught in a snare! I know not what fine wire is round my throat, I only know I let him finger there My pulse of life, letting him nose like a stoat Who sniffs with joy before he drinks the blood: And down his mouth comes to my mouth, and down His dark bright eyes descend like a fiery hood Upon my mind: his mouth meets mine, and a flood Of sweet fire sweeps across me, so I drown Within him, die, and find death good.",poem_sum:poemsum_train.csv:row_10
Clearances by Seamus Heaney,"She taught me what her uncle once taught her: How easily the biggest coal block split If you got the grain and hammer angled right. The sound of that relaxed alluring blow, Its co-opted and obliterated echo, Taught me to hit, taught me to loosen, Taught me between the hammer and the block To face the music. Teach me now to listen, To strike it rich behind the linear black. A cobble thrown a hundred years ago Keeps coming at me, the first stone Aimed at a great-grandmother's turncoat brow. The pony jerks and the riot's on. She's crouched low in the trap Running the gauntlet that first Sunday Down the brae to Mass at a panicked gallop. He whips on through the town to cries of 'Lundy!' Call her 'The Convert'. 'The Exogamous Bride'. Anyhow, it is a genre piece Inherited on my mother's side And mine to dispose with now she's gone. Instead of silver and Victorian lace, The exonerating, exonerated stone. Polished linoleum shone there. Brass taps shone. The china cups were very white and big-- An unchipped set with sugar bowl and jug. The kettle whistled. Sandwich and tea scone Were present and correct. In case it run, The butter must be kept out of the sun. And don't be dropping crumbs. Don't tilt your chair. Don't reach. Don't point. Don't make noise when you stir. It is Number 5, New Row, Land of the Dead, Where grandfather is rising from his place With spectacles pushed back on a clean bald head To welcome a bewildered homing daughter Before she even knocks. 'What's this? What's this?' And they sit down in the shining room together. When all the others were away at Mass I was all hers as we peeled potatoes. They broke the silence, let fall one by one Like solder weeping off the soldering iron: Cold comforts set between us, things to share Gleaming in a bucket of clean water. And again let fall. Little pleasant splashes From each other's work would bring us to our senses. So while the parish priest at her bedside Went hammer and tongs at the prayers for the dying And some were responding and some crying I remembered her head bent towards my head, Her breath in mine, our fluent dipping knives-- Never closer the whole rest of our lives. Fear of affectation made her affect Inadequacy whenever it came to Pronouncing words 'beyond her'. Bertold Brek. She'd manage something hampered and askew Every time, as if she might betray The hampered and inadequate by too Well-adjusted a vocabulary. With more challenge than pride, she'd tell me, 'You Know all them things.' So I governed my tongue In front of her, a genuinely well- Adjusted adequate betrayal Of what I knew better. I'd naw and aye And decently relapse into the wrong Grammar which kept us allied and at bay. The cool that came off sheets just off the line Made me think the damp must still be in them But when I took my corners of the linen And pulled against her, first straight down the hem And then diagonally, then flapped and shook The fabric like a sail in a cross-wind, They made a dried-out undulating thwack. So we'd stretch and fold and end up hand to hand For a split second as if nothing had happened For nothing had that had not always happened Beforehand, day by day, just touch and go, Coming close again by holding back In moves where I was x and she was o Inscribed in sheets she'd sewn from ripped-out flour sacks. In the first flush of the Easter holidays The ceremonies during Holy Week Were highpoints of our Sons and Lovers phase. The midnight fire. The paschal candlestick. Elbow to elbow, glad to be kneeling next To each other up there near the front Of the packed church, we would follow the text And rubrics for the blessing of the font. As the hind longs for the streams, so my soul. . . Dippings. Towellings. The water breathed on. The water mixed with chrism and with oil. Cruet tinkle. Formal incensation And the psalmist's outcry taken up with pride: Day and night my tears have been my bread. In the last minutes he said more to her Almost than in all their life together. 'You'll be in New Row on Monday night And I'll come up for you and you'll be glad When I walk in the door . . . Isn't that right?' His head was bent down to her propped-up head. She could not hear but we were overjoyed. He called her good and girl. Then she was dead, The searching for a pulsebeat was abandoned And we all knew one thing by being there. The space we stood around had been emptied Into us to keep, it penetrated Clearances that suddenly stood open. High cries were felled and a pure change happened. I thought of walking round and round a space Utterly empty, utterly a source Where the decked chestnut tree had lost its place In our front hedge above the wallflowers. The white chips jumped and jumped and skited high. I heard the hatchet's differentiated Accurate cut, the crack, the sigh And collapse of what luxuriated Through the shocked tips and wreckage of it all. Deep-planted and long gone, my coeval Chestnut from a jam jar in a hole, Its heft and hush become a bright nowhere, A soul ramifying and forever Silent, beyond silence listened for.",poem_sum:poemsum_train.csv:row_11
Blowin' in the Wind by Bob Dylan,"How many roads must a man walk down Before you call him a man? Yes, n how many seas must a white dove sail Before she sleeps in the sand? Yes, n how many times must the cannon balls fly Before they're forever banned? The answer, my friend, is blowin' in the wind, The answer is blowin' in the wind. How many years can a mountain exist Before its washed to the sea? Yes, n how many years can some people exist Before they're allowed to be free? Yes, n how many times can a man turn his head, Pretending he just doesn't see? The answer, my friend, is blowin' in the wind, The answer is blowin' in the wind. How many times must a man look up Before he can see the sky? Yes, n how many ears must one man have Before he can hear people cry? Yes, n how many deaths will it take till he knows That too many people have died? The answer, my friend, is blowin' in the wind, The answer is blowin' in the wind.",poem_sum:poemsum_train.csv:row_12
I Said To Love by Thomas Hardy,"I said to Love, ""It is not now as in old days When men adored thee and thy ways All else above; Named thee the Boy, the Bright, the One Who spread a heaven beneath the sun,"" I said to Love. I said to him, ""We now know more of thee than then; We were but weak in judgment when, With hearts abrim, We clamoured thee that thou would'st please Inflict on us thine agonies,"" I said to him. I said to Love, ""Thou art not young, thou art not fair, No faery darts, no cherub air, Nor swan, nor dove Are thine; but features pitiless, And iron daggers of distress,"" I said to Love. ""Depart then, Love! . . . - Man's race shall end, dost threaten thou? The age to come the man of now Know nothing of? - We fear not such a threat from thee; We are too old in apathy! Mankind shall cease.--So let it be,"" I said to Love.",poem_sum:poemsum_train.csv:row_13
Sonnet 31 by Sir Philip Sidney,"With how sad steps, O Moon, thou climb'st the skies! How silently, and with how wan a face! What, may it be that even in heavenly place That busy archer his sharp arrows tries? Sure, if that long-with-love-acquainted eyes Can judge of love, thou feel'st a lover's case, I read it in thy looks; thy languished grace, To me that feel the like, thy state descries. Then, even of fellowship, O Moon, tell me, Is constant love deemed there but want of wit? Are beauties there as proud as here they be? Do they above love to be loved, and yet Those lovers scorn whom that love doth possess? Do they call virtue there ungratefulness?",poem_sum:poemsum_train.csv:row_14
"Description of Spring by Henry Howard, Earl of Surrey","The soote season, that bud and bloom forth brings, With green hath clad the hill and eke the vale: The nightingale with feathers new she sings; The turtle to her make hath told her tale. Summer is come, for every spray now springs: The hart hath hung his old head on the pale; The buck in brake his winter coat he flings; The fishes flete with new repaired scale. The adder all her slough away she slings; The swift swallow pursueth the flies smale; The busy bee her honey now she mings; Winter is worn that was the flowers' bale. And thus I see among these pleasant things Each care decays, and yet my sorrow springs.",poem_sum:poemsum_train.csv:row_15
Passage to India by Walt Whitman,"Passage O soul to India! Eclaircise the myths Asiatic, the primitive fables. Not you alone, proud truths of the world, Nor you alone, ye facts of modern science, But myths and fables of eld, Asia's, Africa's fables, The far-darting beams of the spirit, the unloos'd dreams, The deep diving bibles and legends, The daring plots of the poets, the elder religions; O you temples fairer than lilies, pour'd over by the rising sun! O you fables, spurning the known, eluding the hold of the known, mounting to heaven! You lofty and dazzling towers, pinnacled, red as roses, burnish'd with gold! Towers of fables immortal, fashion'd from mortal dreams! You too I welcome, and fully, the same as the rest! You too with joy I sing. Passage to India! Lo, soul! seest thou not God's purpose from the first? The earth to be spann'd, connected by network, The races, neighbors, to marry and be given in marriage, The oceans to be cross'd, the distant brought near, The lands to be welded together. A worship new I sing, You captains, voyagers, explorers, yours, You engineers, you architects, machinists, yours, You, not for trade or transportation only, But in God's name, and for thy sake, O soul.",poem_sum:poemsum_train.csv:row_16
His Return to London by Robert Herrick,"From the dull confines of the drooping west To see the day spring from the pregnant east, Ravish'd in spirit, I come, nay more, I fly To thee, blest place of my nativity! Thus, thus with hallow'd foot I touch the ground, With thousand blessings by thy fortune crown'd. O fruitful genius! that bestowest here An everlasting plenty, year by year. O place! O people! Manners! fram'd to please All nations, customs, kindreds, languages! I am a free-born Roman; suffer then That I amongst you live a citizen. London my home is, though by hard fate sent Into a long and irksome banishment; Yet since call'd back, henceforward let me be, O native country, repossess'd by thee! For, rather than I'll to the west return, I'll beg of thee first here to have mine urn. Weak I am grown, and must in short time fall; Give thou my sacred relics burial.",poem_sum:poemsum_train.csv:row_17
Boot and Saddle by Robert Browning,"Boot, saddle, to horse, and away! Rescue my Castle, before the hot day Brightens the blue from its silvery grey, (Chorus) ""Boot, saddle, to horse, and away!"" Ride past the suburbs, asleep as you'd say; Many's the friend there, will listen and pray ""God's luck to gallants that strike up the lay, (Chorus) ""Boot, saddle, to horse, and away!"" Forty miles off, like a roebuck at bay, Flouts Castle Brancepeth the Roundheads array: Who laughs, Good fellows ere this, by my fay, (Chorus) ""Boot, saddle, to horse, and away!"" Who? My wife Gertrude; that, honest and gay, Laughs when you talk of surrendering, ""Nay! I've better counsellors; what counsel they?"" (Chorus) ""Boot, saddle, to horse, and away!""",poem_sum:poemsum_train.csv:row_18
The Snow Fairy by Claude McKay,"Throughout the afternoon I watched them there, Snow-fairies falling, falling from the sky, Whirling fantastic in the misty air, Contending fierce for space supremacy. And they flew down a mightier force at night, As though in heaven there was revolt and riot, And they, frail things had taken panic flight Down to the calm earth seeking peace and quiet. I went to bed and rose at early dawn To see them huddled together in a heap, Each merged into the other upon the lawn, Worn out by the sharp struggle, fast asleep. The sun shone brightly on them half the day, By night they stealthily had stol'n away. II And suddenly my thoughts then turned to you Who came to me upon a winter's night, When snow-sprites round my attic window flew, Your hair disheveled, eyes aglow with light. My heart was like the weather when you came, The wanton winds were blowing loud and long; But you, with joy and passion all aflame, You danced and sang a lilting summer song. I made room for you in my little bed, Took covers from the closet fresh and warm, A downful pillow for your scented head, And lay down with you resting in my arm. You went with Dawn. You left me ere the day, The lonely actor of a dreamy play.",poem_sum:poemsum_train.csv:row_19
