name_of_work,content,source
VIST Story 44277,"our sign was ready and we were eager to start the parade . a curious man drove by in a truck . as traffic cleared , others were less shy about marching . before long , almost everyone was marching . a few people stayed on the side and encouraged the marchers .",vist:test.story-in-sequence.json:story_44277
VIST Story 8139,"a hiker climbs the hill to get a view . he looks in awe over the big river and mountains . after , he decides to climb even higher . he takes a picture of his two friends sitting down . he takes another of the landscape below him .",vist:test.story-in-sequence.json:story_8139
VIST Story 11799,the news covered a local snow storm this morning . the reporters saw snow covering the yard of a home . they also saw the snow on the yard of another home . when they got downtown the snow was dying up . by the time they reached the theater the snow was completely gone .,vist:test.story-in-sequence.json:story_11799
VIST Story 30356,"we found this tree when we were walking in a nearby town . it turns out it is a popular attraction here . the tree is very unusual , with its roots exposed . the trunk was really wide , as much as 12 feet ! you can see how big these roots are - pretty amazing !",vist:test.story-in-sequence.json:story_30356
VIST Story 37058,"my sister is a very talented line drawer . she drew our kitchen once . she also drew a graveyard , which was kinda weird . she drew an old time street with gas lamp posts . she enjoys drawing .",vist:test.story-in-sequence.json:story_37058
VIST Story 11090,a beautiful winter evening . family was arriving for a pre-christmas get together . our youngest sang christmas carols at her piano . auntie read stories to her young nephew . the holiday season always brings families together .,vist:test.story-in-sequence.json:story_11090
VIST Story 30323,"the yellow and white flowers setting set the theme for a traditional wedding . the scene is pure , clean and bright . the elders congregate together and with their knowledge of scripture and tradition prepare the groom for his role as a husband . the groom gives his new wife a respectful kiss on the forehead to show he will honor her virtue . the new husband and wife re-appear after changing into their `` receiving clothes '' and walk past their guests as one . the new husband and wife pose on a log to show they have balance in their life , and will also have balance in their marriage .",vist:test.story-in-sequence.json:story_30323
VIST Story 6998,i went to the award ceremony last week . there was some food there . all of the soldiers were happy to get an award . the food was very good as well . i had to go back to work after .,vist:test.story-in-sequence.json:story_6998
VIST Story 8955,"while we were on vacation we decided to go sight seeing . we went to the beach . then , we went into town and looked at some neat buildings . we went to the pier and looked through the binocular viewers at the shore . at the end of the day we piled into our car to go home .",vist:test.story-in-sequence.json:story_8955
VIST Story 5521,we enjoy going to the beach . the beach was quite empty . there was a lot of interesting things at the beach . we really enjoyed our time there . we may go back one day .,vist:test.story-in-sequence.json:story_5521
VIST Story 10332,"i went to the downtown annual parade and saw all the floats , including this one -- the clam king . i really liked the viking float . the float with the flames was quite a site to see . the horses in the parade were gorgeous . the highlight of my night was when the officer brought his horse over to say hi to me .",vist:test.story-in-sequence.json:story_10332
VIST Story 19074,there were many people at the event for the awards . many were talking before the red curtain was being pulled back to show the women and man behind it .,vist:test.story-in-sequence.json:story_19074
VIST Story 37189,i found out about the eco pod program . they sent me lots of brochures and even a dvd . there were some fun bookmarks and pins as well . there was also content online that showed up to date news . i ca n't wait to try it .,vist:test.story-in-sequence.json:story_37189
VIST Story 37246,"arrived at the vacation home early . we decided to rent a boat for the day . the rental building was a cute little cottage . we had to walk through a garden to get there , we finally made it to the village market .",vist:test.story-in-sequence.json:story_37246
VIST Story 6096,for our sons birthday we gathered up all of his friends and went to the bowling alley . our two sons were very happy to be there and enjoyed the friends and food . our youngest son struggled but still managed to get the ball down the lane . we brought out the birthday cake and got ready to sing . after bowling the kids went outside and started to play some video games .,vist:test.story-in-sequence.json:story_6096
VIST Story 28374,the man was giving a speech and the people were watching him . they were impressed and clapped and it was a good time .,vist:test.story-in-sequence.json:story_28374
