id,dataset_type,name_of_work,content,source
poem_0000,poem,The Definition of Love by Andrew Marvell,"My love is of a birth as rare As 'tis for object strange and high; It was begotten by Despair Upon Impossibility. Magnanimous Despair alone Could show me so divine a thing Where feeble Hope could ne'er have flown, But vainly flapp'd its tinsel wing. And yet I quickly might arrive Where my extended soul is fixt, But Fate does iron wedges drive, And always crowds itself betwixt. For Fate with jealous eye does see Two perfect loves, nor lets them close; Their union would her ruin be, And her tyrannic pow'r depose. And therefore her decrees of steel Us as the distant poles have plac'd, (Though love's whole world on us doth wheel) Not by themselves to be embrac'd; Unless the giddy heaven fall, And earth some new convulsion tear; And, us to join, the world should all Be cramp'd into a planisphere. As lines, so loves oblique may well Themselves in every angle greet; But ours so truly parallel, Though infinite, can never meet. Therefore the love which us doth bind, But Fate so enviously debars, Is the conjunction of the mind, And opposition of the stars.",poem_sum:poemsum_train.csv:row_1480
poem_0001,poem,Constancy by Joseph Brodsky,"Constancy is an evolution of one's living quarters into a thought: a continuation of a parallelogram or a rectangle by means--as Clausewitz would have put it-- of the voice and, ultimately, the gray matter. Ah, shrunken to the size of a brain-cell parlor with a lampshade, an armoire in the ""Slavic Glory"" fashion, four studded chairs, a sofa, a bed, a bedside table with little medicine bottles left there standing like a kremlin or, better yet, manhattan. To die, to abandon a family, to go away for good, to change hemispheres, to let new ovals be painted into the square--the more volubly will the gray cell insist on its actual measurements, demanding daily sacrifice from the new locale, from the furniture, from the silhouette in a yellow dress; in the end--from your very self. A spider revels in shading especially the fifth corner. Evolution is not a species' adjustment to a new environment but one's memories' triumph over reality, the ichthyosaurus pining for the amoeba, the slack vertebrae of a train thundering in the darkness, past the mussel shells, tightly shut for the night, with their spineless, soggy, pearl-shrouding contents.",poem_sum:poemsum_train.csv:row_1312
poem_0002,poem,This is Just to Say by William Carlos Williams,I have eaten the plums that were in the icebox and which you were probably saving for breakfast Forgive me they were delicious so sweet and so cold,poem_sum:poemsum_train.csv:row_305
poem_0003,poem,Diving into the Wreck by Adrienne Rich,"First having read the book of myths, and loaded the camera, and checked the edge of the knife-blade, I put on the body-armor of black rubber the absurd flippers the grave and awkward mask. I am having to do this not like Cousteau with his assiduous team aboard the sun-flooded schooner but here alone. There is a ladder. The ladder is always there hanging innocently close to the side of the schooner. We know what it is for, we who have used it. Otherwise it is a piece of maritime floss some sundry equipment. I go down. Rung after rung and still the oxygen immerses me the blue light the clear atoms of our human air. I go down. My flippers cripple me, I crawl like an insect down the ladder and there is no one to tell me when the ocean will begin. First the air is blue and then it is bluer and then green and then black I am blacking out and yet my mask is powerful it pumps my blood with power the sea is another story the sea is not a question of power I have to learn alone to turn my body without force in the deep element. And now: it is easy to forget what I came for among so many who have always lived here swaying their crenellated fans between the reefs and besides you breathe differently down here. I came to explore the wreck. The words are purposes. The words are maps. I came to see the damage that was done and the treasures that prevail. I stroke the beam of my lamp slowly along the flank of something more permanent than fish or weed the thing I came for: the wreck and not the story of the wreck the thing itself and not the myth the drowned face always staring toward the sun the evidence of damage worn by salt and sway into this threadbare beauty the ribs of the disaster curving their assertion among the tentative haunters. This is the place. And I am here, the mermaid whose dark hair streams black, the merman in his armored body. We circle silently about the wreck we dive into the hold. I am she: I am he whose drowned face sleeps with open eyes whose breasts still bear the stress whose silver, copper, vermeil cargo lies obscurely inside barrels half-wedged and left to rot we are the half-destroyed instruments that once held to a course the water-eaten log the fouled compass We are, I am, you are by cowardice or courage the one who find our way back to this scene carrying a knife, a camera a book of myths in which our names do not appear.",poem_sum:poemsum_train.csv:row_1545
poem_0004,poem,Late Spring by Owen Sheers,"It made me feel like a man when I helped my grandfather castrate the early lambs picking the hard orange O-rings from the plastic bag and stretching them across the made-to-purpose tool, heavy and steel-hard in the sun, while he turned one between his legs to play it like a cello. Spreading the pink unwooled skin at their groins he'd coax them up into the sack, one-handed, like a man milking, two soaped beans into a delicate purse while gesturing with his other for the tool, a pliers in reverse, Which I'd pass to him then stand and stare as he let his clenched fist open to crown them. We did the tails too while we were there so when I walked the field weeks later, both could be counted; the tails scattered like catkins among the windfall of our morning's work - a strange harvest of the seeds we'd sown.",poem_sum:poemsum_train.csv:row_1716
poem_0005,poem,Warning by Jenny Joseph,"When I am an old woman I shall wear purple With a red hat which doesn't go, and doesn't suit me. And I shall spend my pension on brandy and summer gloves And satin sandals, and say we've no money for butter. I shall sit down on the pavement when I'm tired And gobble up samples in shops and press alarm bells And run my stick along the public railings And make up for the sobriety of my youth. I shall go out in my slippers in the rain And pick flowers in other people's gardens And learn to spit. You can wear terrible shirts and grow more fat And eat three pounds of sausages at a go Or only bread and pickle for a week And hoard pens and pencils and beermats and things in boxes. But now we must have clothes that keep us dry And pay our rent and not swear in the street And set a good example for the children. We must have friends to dinner and read the papers. But maybe I ought to practise a little now? So people who know me are not too shocked and surprised When suddenly I am old, and start to wear purple.",poem_sum:poemsum_train.csv:row_1420
poem_0006,poem,A Contribution to Statistics by Wislawa Szymborska,"Out of a hundred people those who always know better -- fifty-two doubting every step -- nearly all the rest, glad to lend a hand if it doesn't take too long -- as high as forty-nine, always good because they can't be otherwise -- four, well maybe five, able to admire without envy -- eighteen, suffering illusions induced by fleeting youth -- sixty, give or take a few, not to be taken lightly -- forty and four, living in constant fear of someone or something -- seventy-seven, capable of happiness -- twenty-something tops, harmless singly, savage in crowds -- half at least, cruel when forced by circumstances -- better not to know even ballpark figures, wise after the fact -- just a couple more than wise before it, taking only things from life -- thirty (I wish I were wrong), hunched in pain, no flashlight in the dark -- eighty-three sooner or later, righteous -- thirty-five, which is a lot, righteous and understanding -- three, worthy of compassion -- ninety-nine, mortal -- a hundred out of a hundred. Thus far this figure still remains unchanged.",poem_sum:poemsum_train.csv:row_1314
poem_0007,poem,The Mountain And The Squirrel by Ralph Waldo Emerson,"The mountain and the squirrel Had a quarrel, And the former called the latter ""Little prig."" Bun replied, ""You are doubtless very big; But all sorts of things and weather Must be taken in together To make up a year And a sphere. And I think it no disgrace To occupy my place. If I'm not so large as you, You are not so small as I, And not half so spry: I'll not deny you make A very pretty squirrel track. Talents differ; all is well and wisely put; If I cannot carry forests on my back, Neither can you crack a nut.""",poem_sum:poemsum_train.csv:row_795
poem_0008,poem,The Lesson by Maya Angelou,"I keep on dying again. Veins collapse, opening like the Small fists of sleeping Children. Memory of old tombs, Rotting flesh and worms do Not convince me against The challenge. The years And cold defeat live deep in Lines along my face. They dull my eyes, yet I keep on dying, Because I love to live.",poem_sum:poemsum_train.csv:row_817
poem_0009,poem,The Willing Mistress by Aphra Behn,"Amyntas led me to a Grove, Where all the Trees did shade us; The Sun it self, though it had Strove, It could not have betray'd us: The place secur'd from humane Eyes, No other fear allows. But when the Winds that gently rise, Doe Kiss the yielding Boughs. Down there we satt upon the Moss, And id begin to play A Thousand Amorous Tricks, to pass The heat of all the day. A many Kisses he did give: And I return'd the same Which made me willing to receive That which I dare not name. His Charming Eyes no Aid requir'd To tell their softning Tale; On her that was already fir'd 'Twas easy to prevaile. He did but Kiss and Clasp me round, Whilst those his thoughts Exprest: And lay'd me gently on the Ground; Ah who can guess the rest?",poem_sum:poemsum_train.csv:row_1486
poem_0010,poem,The Poem Unwritten by Denise Levertov,"The Poem Unwritten For weeks the poem of your body, of my hands upon your body stroking, sweeping, in the rite of worship, going their way of wonder down from neck-pulse to breast-hair to level belly to cock - for weeks that poem, that prayer unwritten. That poem unwritten, the act left to the mind, undone. The years a forest of giant stones, of fossil stumps, blocking the altar.",poem_sum:poemsum_train.csv:row_1556
poem_0011,poem,Driving to the Hospital by Kate Clanchy,"We were low on petrol so I said let's freewheel when we get to the hill. It was dawn and the city was nursing its quiet and I liked the idea of arriving with barely a crunch on the gravel. You smiled kindly and eased the clutch gently and backed us out of the driveway and patted my knee with exactly the gesture you used when we were courting, remember, on the way to your brother's: I like driving with my baby, that's what you said. And at the time I wondered why my heart leapt and leapt.",poem_sum:poemsum_train.csv:row_1974
poem_0012,poem,Sadie and Maud by Gwendolyn Brooks,"Maud went to college. Sadie stayed at home. Sadie scraped life With a fine-tooth comb. She didn't leave a tangle in. Her comb found every strand. Sadie was one of the livingest chits In all the land. Sadie bore two babies Under her maiden name. Maud and Ma and Papa Nearly died of shame. When Sadie said her last so-long Her girls struck out from home. (Sadie had left as heritage Her fine-tooth comb.) Maud, who went to college, Is a thin brown mouse. She is living all alone In this old house.",poem_sum:poemsum_train.csv:row_1610
poem_0013,poem,An Eastern Ballad by Allen Ginsberg,"I speak of love that comes to mind: The moon is faithful, although blind; She moves in thought she cannot speak. Perfect care has made her bleak. I never dreamed the sea so deep, The earth so dark; so long my sleep, I have become another child. I wake to see the world go wild.",poem_sum:poemsum_train.csv:row_1060
poem_0014,poem,Two Women by Marcus Wilcox,"I know two women, and one is chaste And cold as the snows on a winter waste. Stainless ever in act and thought (As a man, born dumb, in speech errs not.) But she has malice toward her kind, A cruel tongue and a jealous mind. Void of pity and full of greed, She judges the world by her narrow creed: A brewer of quarrels, a breeder of hate, Yet she holds the key to ""Society's"" Gate. The other woman, with heart of flame, Went mad for a love that marred her name: And out of the grave of her murdered faith She rose like a soul that has passed through death. Her aims are noble, her pity so broad, It covers the world like the mercy of God. A soother of discord, a healer of woes, Peace follows her footsteps wherever she goes The worthier life of the two no doubt, And yet ""Society"" locks her out.",poem_sum:poemsum_train.csv:row_1041
poem_0015,poem,Milton by Firelight by Gary Snyder,"'O Hell, what do mine eyes with grief behold?' Working with an old Singlejack miner, who can sense The vein and cleavage In the very guts of rock, can Blast granite, build Switchbacks that last for years Under the beat of snow, thaw, mule-hooves. What use, Milton, a silly story Of our lost general parents, eaters of fruit? The Indian, the chainsaw boy, And a string of six mules Came riding down to camp Hungry for tomatoes and green apples. Sleeping in saddle-blankets Under a bright night-sky Han River slantwise by morning. Jays squall Coffee boils In ten thousand years the Sierras Will be dry and dead, home of the scorpion. Ice-scratched slabs and bent trees. No paradise, no fall, Only the weathering land The wheeling sky, Man, with his Satan Scouring the chaos of the mind. Oh Hell! Fire down Too dark to read, miles from a road The bell-mare clangs in the meadow That packed dirt for a fill-in Scrambling through loose rocks On an old trail All of a summer's day.",poem_sum:poemsum_train.csv:row_1857
poem_0016,poem,Crossing the Loch by Kathleen Jamie,"Remember how we rowed toward the cottage on the sickle-shaped bay, that one night after the pub loosed us through its swinging doors and we pushed across the shingle till water lipped the sides as though the loch mouthed 'boat'? I forget who rowed. Our jokes hushed. The oars' splash, creak, and the spill of the loch reached long into the night. Out in the race I was scared: the cold shawl of breeze, and hunched hills; what the water held of deadheads, ticking nuclear hulls. Who rowed, and who kept their peace? Who hauled salt-air and stars deep into their lungs, were not reassured; and who first noticed the loch's phosphorescence, so, like a twittering nest washed from the rushes, an astonished small boat of saints, we watched water shine on our fingers and oars, the magic dart of our bow wave? It was surely foolhardy, such a broad loch, a tide, but we live -- and even have children to women and men we had yet to meet that night we set out, calling our own the sky and salt-water, wounded hills dark-starred by blaeberries, the glimmering anklets we wore in the shallows as we shipped oars and jumped, to draw the boat safe, high at the cottage shore.",poem_sum:poemsum_train.csv:row_1707
